Real, Imag
0.002,0
0.002,0.121263
0.00200003,0.565888
0.00200003,-0.694488
0.00200002,-0.261169
0.002,-0.169755
0.00199999,-0.128381
0.002,-0.104227
0.002,-0.088173
0.002,-0.076631
0.00200001,-0.0678852
0.002,-0.0610037
0.002,-0.0554336
0.002,-0.0508241
0.002,-0.0469413
0.002,-0.0436225
0.002,-0.0407509
0.002,-0.0382404
0.002,-0.0360257
0.002,-0.0340568
0.002,-0.0322943
0.002,-0.030707
0.002,-0.0292697
0.002,-0.0279619
0.002,-0.0267665
0.002,-0.0256696
0.002,-0.0246594
0.002,-0.0237258
0.002,-0.0228605
0.002,-0.022056
0.002,-0.0213062
0.002,-0.0206056
0.002,-0.0199495
0.002,-0.0193337
0.002,-0.0187546
0.002,-0.018209
0.002,-0.0176941
0.00200001,-0.0172073
0.002,-0.0167463
0.002,-0.0163092
0.002,-0.015894
0.002,-0.0154993
0.002,-0.0151234
0.002,-0.0147652
0.002,-0.0144232
0.002,-0.0140965
0.002,-0.0137841
0.002,-0.013485
0.002,-0.0131983
0.002,-0.0129234
0.002,-0.0126594
0.002,-0.0124058
0.002,-0.0121619
0.002,-0.0119273
0.002,-0.0117013
0.002,-0.0114834
0.002,-0.0112734
0.002,-0.0110707
0.002,-0.0108749
0.002,-0.0106857
0.002,-0.0105028
0.002,-0.0103259
0.002,-0.0101546
0.002,-0.00998873
0.002,-0.00982798
0.002,-0.00967214
0.002,-0.00952098
0.002,-0.0093743
0.002,-0.00923187
0.002,-0.00909354
0.002,-0.0089591
0.002,-0.00882841
0.002,-0.0087013
0.002,-0.00857763
0.002,-0.00845725
0.002,-0.00834004
0.002,-0.00822586
0.002,-0.00811461
0.002,-0.00800617
0.002,-0.00790041
0.002,-0.00779726
0.002,-0.00769661
0.002,-0.00759837
0.002,-0.00750246
0.002,-0.00740877
0.002,-0.00731726
0.002,-0.00722781
0.002,-0.00714039
0.002,-0.00705491
0.002,-0.0069713
0.002,-0.0068895
0.002,-0.00680947
0.002,-0.00673113
0.002,-0.00665442
0.002,-0.00657932
0.002,-0.00650574
0.002,-0.00643366
0.00199999,-0.00636303
0.00199999,-0.00629377
0.002,-0.00622591
0.002,-0.00615935
0.002,-0.00609406
0.00199999,-0.00603003
0.00199999,-0.00596718
0.002,-0.0059055
0.002,-0.00584496
0.002,-0.00578552
0.002,-0.00572715
0.002,-0.00566984
0.002,-0.00561352
0.002,-0.0055582
0.002,-0.00550384
0.002,-0.0054504
0.002,-0.00539788
0.002,-0.00534624
0.00200001,-0.00529546
0.002,-0.00524552
0.00199999,-0.0051964
0.00200001,-0.00514807
0.002,-0.00510052
0.002,-0.00505372
0.002,-0.00500767
0.002,-0.00496233
0.002,-0.00491769
0.002,-0.00487375
0.002,-0.00483046
0.002,-0.00478783
0.002,-0.00474584
0.002,-0.00470447
0.002,-0.00466371
0.002,-0.00462353
0.002,-0.00458395
0.002,-0.00454492
0.002,-0.00450645
0.002,-0.00446852
0.002,-0.00443112
0.002,-0.00439424
0.00200001,-0.00435787
0.002,-0.00432199
0.002,-0.00428659
0.002,-0.00425166
0.002,-0.0042172
0.002,-0.00418319
0.002,-0.00414965
0.002,-0.00411651
0.002,-0.00408381
0.002,-0.00405153
0.002,-0.00401966
0.002,-0.00398817
0.002,-0.0039571
0.002,-0.00392639
0.002,-0.00389607
0.002,-0.00386612
0.002,-0.00383653
0.002,-0.0038073
0.002,-0.0037784
0.002,-0.00374986
0.00200001,-0.00372165
0.002,-0.00369377
0.002,-0.0036662
0.002,-0.00363895
0.002,-0.00361202
0.002,-0.00358539
0.00199999,-0.00355904
0.002,-0.00353301
0.002,-0.00350726
0.002,-0.00348178
0.002,-0.00345659
0.002,-0.00343167
0.002,-0.00340701
0.002,-0.00338262
0.002,-0.00335848
0.002,-0.00333461
0.002,-0.00331098
0.002,-0.00328759
0.002,-0.00326444
0.002,-0.00324153
0.002,-0.00321885
0.002,-0.0031964
0.002,-0.00317418
0.002,-0.00315217
0.002,-0.00313039
0.00200001,-0.00310881
0.00199999,-0.00308744
0.002,-0.00306629
0.002,-0.00304533
0.002,-0.00302458
0.002,-0.00300402
0.002,-0.00298365
0.002,-0.00296347
0.002,-0.00294348
0.002,-0.00292368
0.002,-0.00290406
0.002,-0.00288461
0.002,-0.00286534
0.002,-0.00284624
0.002,-0.00282732
0.00200002,-0.00280856
0.00200002,-0.00278995
0.002,-0.00277152
0.002,-0.00275326
0.00200001,-0.00273514
0.00199999,-0.00271717
0.00199999,-0.00269936
0.002,-0.00268171
0.002,-0.00266421
0.002,-0.00264684
0.002,-0.00262962
0.002,-0.00261255
0.002,-0.00259561
0.002,-0.0025788
